sentence_1,sentence_2,label
"[8387, 8507, 9854, 1044, 2520, 588, 4449, 4233, 3327, 2249, 9647, 10563, 2672, 2169, 4737, 2112]","[9891, 7965, 7062, 5133, 8279, 6753, 774, 8612]",0
"[5091, 4850, 2249, 588, 5870, 9854, 2761, 3368, 8956, 588, 8734, 149, 6053, 8815, 525, 10413]","[8387, 7986, 9854, 2761, 3368, 8956, 8815, 525, 10413]",1
"[8387, 6778, 9854, 10457, 824, 588, 4190, 7237]","[8387, 6778, 9854, 10457, 824, 588, 7548, 4088, 7339]",0
"[5091, 5393, 6532, 8705, 588, 3822, 824, 2169, 327, 10379]","[9291, 5393, 7625, 588, 3039, 6280]",0
"[5091, 7626, 824, 588, 9846, 2782, 4764, 2618, 588, 6290, 2520, 1421, 4817, 824, 588, 4019, 8518]","[9291, 7626, 824, 2169, 9846, 2782, 4764, 9525, 1421, 4817, 8956, 5384, 588, 6290]",1
"[2553, 5421, 2249, 9846, 7621, 7667, 9769, 2169, 4706, 4205, 5421, 2249, 9846, 2876, 6480, 2520, 588, 10338, 8879]","[9891, 2876, 9854, 8175, 6053, 588, 2404, 246]",0
"[9291, 1082, 459, 7621, 2249, 8995, 459, 7621, 9854, 10001, 824, 2169, 9224, 9627]","[8387, 2876, 8580, 2041, 9876, 588, 1913]",0
"[5091, 9614, 9647, 3447, 10126, 9189, 8956, 3034, 824, 588, 9795]","[5091, 9614, 6993, 3691]",1
"[8387, 7986, 9389, 6053, 2169, 2209, 9854, 7283, 588, 4484, 6053, 588, 4091, 1022]","[9291, 7986, 9854, 9389]",1
"[8387, 6778, 7762, 588, 459, 7621, 3797, 3678, 10678, 5494, 765, 588, 997, 10385, 9502, 4799, 668, 588, 5421, 309]","[8387, 6778, 6480, 2520, 588, 7621]",1
"[5091, 683, 6014, 8705, 588, 4574, 2249, 10188, 5834, 824, 588, 6855, 734, 1680, 3520, 2520, 1319, 269, 8874, 6053, 2169, 10163, 6032, 3673, 1710, 2520, 8815, 1563, 5, 8705, 9224, 6053, 2169, 470, 1710, 2249, 2851, 5320, 6053, 2169, 7471]","[5091, 683, 6014, 8705, 588, 4574, 2249, 10188, 5834, 824, 588, 6855, 734, 1680, 3520, 2520, 1319, 269, 8874, 6053, 2169, 10163, 6032, 3673, 1710, 2520, 8815, 1563, 5, 8705, 9224, 6053, 2169, 470, 1710, 2249, 2851, 5320, 6053, 2169, 7471]",1
"[5091, 355, 9614, 9122, 2672, 707, 9575, 3616, 10328, 6615, 8528, 9140, 2169, 5974]","[9291, 9614, 6993, 9089, 707, 3788, 824, 588, 6772, 2048, 3340]",0
"[5091, 2571, 9876, 1692, 7466, 8956, 3220, 10225, 824, 8815, 1736, 6941, 8956, 4306, 2169, 5393, 8561, 824, 588, 5039, 2571, 9876, 7478, 6993, 4299, 3797, 588, 4850, 5402, 6993, 8561, 114, 3616, 826]","[10045, 7302, 5141, 9854, 10451, 6941, 374, 10045, 4306]",1
"[9484, 5337, 5393, 1044, 8815, 1307]","[9291, 5393, 2469, 4088, 588, 2700]",0
